i,x,y
399,5472,4609
400,5496,4621
401,5395,4523
402,5463,4471
403,5474,4616
404,5434,4478
405,5421,4580
406,5426,4477
407,5427,4470
408,5478,4590
409,5398,4552
410,5427,4464
411,5387,4520
412,5429,4481
413,5424,4466
414,5385,4520
415,5422,4481
416,5396,4548
417,5398,4538
418,5465,4617
419,5509,4625
420,5468,4628
421,5398,4539
422,5381,4519
423,5424,4485
424,5419,4476
425,5400,4544
426,5465,4630
427,5387,4556
428,5486,4637
429,5389,4513
430,5422,4452
431,5465,4610
432,5415,4470
433,5457,4618
434,5387,4553
435,5420,4455
436,5389,4536
437,5412,4466
438,5385,4549
439,5452,4617
440,5416,4452
441,5370,4511
442,5422,4460
443,5461,4623
444,5384,4547
445,5522,4633
446,5377,4561
447,5449,4619
448,5369,4510
449,5414,4445
450,5462,4600
451,5412,4461
452,5485,4649
453,5377,4551
454,5423,4464
455,5376,4564
456,5521,4636
457,5411,4452
458,5416,4442
459,5367,4506
460,5411,4456
461,5383,4563
462,5445,4621
463,5373,4551
464,5378,4507
465,5519,4639
466,5366,4509
467,5456,4597
468,5442,4613
469,5383,4566
470,5410,4447
471,5372,4568
472,5629,7516
473,5623,7516
474,5620,7527
475,5634,7496
476,5609,7530
477,5625,7490
478,5636,7479
479,5652,7550
480,5637,7475
481,5652,7549
482,5638,7475
483,5633,7474
484,5659,7550
485,5639,7468
486,5650,7560
487,5663,7551
488,5639,7463
489,5627,7470
490,5656,7536
491,5639,7461
492,5625,7468
493,5624,7482
494,5642,7461
495,5633,7460
496,5625,7476
497,5647,7569
498,5621,7466
499,5671,7554
500,5639,7454
501,5658,7529
502,5662,7540
503,5627,7460
504,5647,7572
505,5674,7554
506,5639,7451
507,5664,7536
508,5627,7456
509,5644,7455
510,5625,7460
511,5651,7461
512,5651,7576
513,5675,7558
514,5618,7491
515,5663,7548
516,5678,7546
517,5633,7451
518,5655,7575
519,5650,7582
520,5681,7546
521,5646,7530
522,5683,7559
523,5652,7453
524,5644,7529
525,5646,7533
526,5628,7449
527,5682,7549
528,5663,7515
529,5630,7457
530,5645,7439
531,5660,7569
532,5626,7451
533,5684,7540
534,5654,7588
535,5622,7572
536,5634,7441
537,5665,7511
538,5659,7572
539,5618,7443
540,5682,7538
541,5649,7436
542,5615,7506
543,5624,7576
544,5644,7521
545,5665,7567
546,5627,7579
547,5662,7456
548,5623,7455
549,5659,7592
550,5648,7585
551,5671,7513
552,5692,7538
553,5629,7436
554,5665,7594
555,5627,7436
556,5610,7500
557,5665,7593
558,5671,7571
559,5620,7582
560,5627,7436
561,5620,7578
562,5666,7595
563,5633,7581
564,5663,7596
565,5624,7435
566,5621,7558
567,5661,7435
568,5667,7581
569,5619,7455
570,5667,7598
571,5665,7598
572,5624,7440
573,5605,7513
574,5632,7430
575,5669,7576
576,5676,7566
577,5664,7600
578,5682,7515
579,5649,7421
580,5693,7548
581,5628,7430
582,5694,7527
583,5633,7588
584,5638,7593
585,5676,7496
586,5666,7575
587,5677,7564
588,5667,7436
589,5682,7503
590,5361,7174
591,5360,7174
592,5359,7174
593,5360,7173
594,5352,7169
595,5360,7164
596,5370,7182
597,5359,7164
598,5374,7174
599,5350,7168
600,5375,7176
601,5360,7161
602,5355,7164
603,5360,7159
604,5347,7173
605,5378,7177
606,5373,7180
